kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A10027952,동화마을 신동아 파밀리에 아파트,경기도 화성효행구 봉담읍 동화리 647 동화마을 신동아 파밀리에 아파트,경기도 화성시 동화새터길 55-39,2015-07-31,20150731,699,9,DEV-DONGTAN2,False,True,True,2,rejected,parkd,2026-09-02,"법정동 ""봉담읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027729,동탄역시범더샵센트럴시티아파트,경기도 화성동탄구 청계동 519 동탄역시범더샵센트럴시티아파트,경기도 화성시 동탄대로시범길 19,2015-08-21,20150821,874,8,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027732,동탄역대원칸타빌 포레지움,경기도 화성동탄구 청계동 558 동탄역대원칸타빌 포레지움,경기도 화성시 동탄순환대로21길 54,2015-08-30,20150830,714,8,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027830,동탄역시범한화꿈에그린프레스티지아파트,경기도 화성동탄구 청계동 510-88 동탄역시범한화꿈에그린프레스티지아파트,경기도 화성시 동탄대로시범길 20,2015-09-25,20150925,1817,25,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027646,동탄역 신안인스빌리베라,경기도 화성동탄구 청계동 545 동탄역 신안인스빌리베라,경기도 화성시 동탄순환대로21길 15,2015-10-19,20151019,913,13,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027798,화성동탄상록리슈빌아파트,경기도 화성동탄구 영천동 651-1488 화성동탄상록리슈빌아파트,경기도 화성시 동탄순환대로 706,2015-11-11,20151111,672,8,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027806,동탄2 LH 4단지,경기도 화성동탄구 영천동 722 동탄2 LH 4단지,경기도 화성시 동탄순환대로24길 11,2015-12-02,20151202,2147,16,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027768,동탄역 시범반도유보라아이비파크1.0,경기도 화성동탄구 청계동 510-838 동탄역 시범반도유보라아이비파크1.0,경기도 화성시 동탄대로시범길 168,2015-12-22,20151222,904,12,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027694,남양뉴타운 양우내안애아파트,경기도 화성만세구 남양읍 남양리 1800 남양뉴타운 양우내안애아파트,경기도 화성시 시청로32번길 59,2016-01-20,20160120,398,5,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""남양읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027606,동탄역반도유보라아이비파크2.0 아파트,경기도 화성동탄구 영천동 716 동탄역반도유보라아이비파크2.0 아파트,경기도 화성시 동탄순환대로26길 55,2016-02-05,20160205,999,11,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
