cluster_id,citycode,nodeid,nodenm,nodeno,api_lat,api_lon,list_lat,list_lon,coord_delta_m,recomputed_dist_m,api_radius_claim_m,reference_missing,direction_label,has_trunk_route,smoke_test_at,smoke_result,raw_snapshot_path,review_status,verified_by,verified_at,reject_reason,raw_citycode_response_path
A10023897,31020,GGB204000093,래미안위례.위례고운초교.위례35단지,5082,37.4710333,127.14365,37.4710333,127.14365,0.0,424.4918994039652,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10023897,31020,GGB204000236,성남시위례동행정복지센터.위례아트리버푸르지오,5176,37.4708167,127.1422833,37.4708167,127.1422833,0.0,428.3527264371547,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222000907,다산메트로3단지.유승한내들골든뷰,49157,37.6223833,127.14705,37.6223833,127.14705,0.0,99.77871487670292,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222001153,유승한내들골든뷰.다산메트로3단지,49264,37.62255,127.1467667,37.62255,127.1467667,0.0,124.86571028499088,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222000910,한양수자인2차,49781,37.6207833,127.14715,37.6207833,127.14715,0.0,206.77135348009463,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222000911,한양수자인2차,49804,37.6203333,127.1478167,37.6203333,127.1478167,0.0,238.02800866745284,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222001919,다산가람초교.벧엘교회,49789,37.62055,127.1495167,37.62055,127.1495167,0.0,242.33023832355724,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024060,31130,GGB222001918,다산가람초교.벧엘교회,49788,37.62035,127.1497,37.62035,127.1497,0.0,269.6325584231521,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233003211,반도유보라.삼정그린코아,55969,37.2013333,127.0904,37.2013333,127.0904,0.0,291.409670954631,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233003210,반도유보라.삼정그린코아,55968,37.2015667,127.09035,37.2015667,127.09035,0.0,313.06802469393205,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233001634,디에트르퍼스티지,55495,37.1991667,127.0925167,37.1991667,127.0925167,0.0,317.74170325891333,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233001632,디에트르퍼스티지,55494,37.1993333,127.0930167,37.1993333,127.0930167,0.0,363.4477346750842,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233003239,동탄여울공원,55988,37.2020667,127.0869833,37.2020667,127.0869833,0.0,383.7452085221564,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024076,31240,GGB233003240,동탄여울공원,55989,37.2023333,127.0870833,37.2023333,127.0870833,0.0,406.7704908667112,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233001237,호수하우스디,37044,37.1611167,127.0970667,37.1611167,127.0970667,0.0,105.9609493171879,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233001118,호수하우스디,37039,37.16095,127.0970167,37.16095,127.0970167,0.0,124.97272770263524,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233000275,화남초등학교,55781,37.1633667,127.0966333,37.1633667,127.0966333,0.0,155.65419296223732,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233000238,화남초등학교,55768,37.16395,127.0968667,37.16395,127.0968667,0.0,213.22184007877715,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233000226,한화포레나,55763,37.1646833,127.0987333,37.1646833,127.0987333,0.0,319.9768910747587,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
A10024091,31240,GGB233001587,금호어울림2차,37042,37.16095,127.1006333,37.16095,127.1006333,0.0,323.6654774372845,500,False,,,,,,ai_draft,,,,evidence/citycode/getCtyCodeList_raw.json
